id,title,company,location,industry,experience_level,experience_min,experience_max,required_skills,nice_to_have_skills,description,salary_min,salary_max,job_type,remote,source
100,Data Analyst Strategist & Technology Engineer,Stearns Bank N.A.,United States,Financial Services,Mid-level,2,5,Marketing,,"Come Grow with Us and Join an Award-Winning Organization! Stearns Bank is looking for a Data Analyst Strategist and Technology Engineer. This is a remote-eligible position headquartered out of St. Cloud, Minnesota. JOB SUMMARY As a Data Analyst Strategist and Technology Engineer at Stearns Bank, you will play a critical role in driving data-driven decision-making and technology innovation across the organization. Leveraging your expertise in data analysis, strategy development, and technology engineering, you will collaborate with cross-functional teams to design, implement, and optimize data-driven solutions that drive business growth and enhance operational efficiency. Starting annual salary of $130,000.00. Employment offers will be dependent upon the selected candidate’s relevant qualifications and experience. RESPONSIBILITIESData Analysis and Insights: Utilize advanced data analysis techniques to extract insights from large datasets, identify trends, patterns, and correlations, and",800000,1500000,FULL_TIME,True,linkedin_2023_2024
101,Sales Program Manager- Fandango,Fandango,"Incline Village, NV",Broadcast Media Production and Distribution,Entry/Mid,1,3,Sales,,"Company Description We create world-class content, which we distribute across our portfolio of film, television, and streaming, and bring to life through our theme parks and consumer experiences. We own and operate leading entertainment and news brands, including NBC, NBC News, MSNBC, CNBC, NBC Sports, Telemundo, NBC Local Stations, Bravo, USA Network, and Peacock, our premium ad-supported streaming service. We produce and distribute premier filmed entertainment and programming through Universal Filmed Entertainment Group and Universal Studio Group, and have world-renowned theme parks and attractions through Universal Destinations & Experiences. NBCUniversal is a subsidiary of Comcast Corporation. Here you can be your authentic self. As a company uniquely positioned to educate, entertain and empower through our platforms, Comcast NBCUniversal stands for including everyone. Our Diversity, Equity and Inclusion initiatives, coupled with our Corporate Social Responsibility work, is informe",800000,1500000,FULL_TIME,False,linkedin_2023_2024
102,Surgical Scheduler,Mile Bluff Medical Center,"Mauston, WI",Hospitals and Health Care,Entry,0,2,Health Care Provider,,"General Information Job title: Surgery Scheduler Schedules Available: Full-time, 80 hours per pay period; Monday-Friday, 7:00an - 3:30pm Weekend rotation: No weekends. Holiday rotation: Paid Time Off for Holidays Position Summary The Surgical Scheduler position provides quality customer service and performs OR Department procedure scheduling, secretarial, and clerical duties in a busy, multi-task environment, in accordance with Mile Bluff Medical Center policies and procedures and government regulations. Position Responsibilities Schedules, modifies, and confirms patient surgical procedures into surgical schedule system.Communicates professionally and effectively with patients, visitors, physicians, OR staff, vendors, and public. Demonstrates maturity to perform duties in an independent manner. Demonstrates ability to problem-solve the OR schedule from a variety of perspectives, considers alternatives, and chooses the most appropriate course of action. Performs various clerical functio",800000,1500000,FULL_TIME,False,linkedin_2023_2024
103,Delivery Truck Driver - Cdl,Ferguson,"San Luis Obispo, CA",Wholesale,Entry,0,2,Management|Manufacturing,,"Job Posting: Ferguson is North America’s leading value-added distributor across residential, non-residential, new construction and repair, maintenance, and improvement (RMI) end markets. Spanning 34,000 suppliers and more than one million customers, we deliver local expertise, value-added solutions, and the industry’s most extensive portfolio of products. From infrastructure, plumbing, and appliances, to HVAC, fire protection, fabrication, and more, we make our customers’ complex projects simple, successful, and sustainable. Would you like a truck driving career where you can be home daily with no nights or weekends? Join our team today! The PERKS of working for Ferguson: Competitive compensationSafe Driver incentiveHourly bonus potentialBenefits (Medical, Dental, Vision, Disability, Life Insurance, Wellness Programs, etc.)401(K) Retirement Savings Plan with company matchPaid time off (vacation, sick, personal, holiday, and parental leave)Employee Assistance ProgramsAssociate discounts",100000,100000,FULL_TIME,False,linkedin_2023_2024
104,Ct Technologist,MedPro Healthcare Staffing,"Newton Lower Falls, MA",Staffing and Recruiting,Mid-level,2,5,Health Care Provider,,"MedPro Healthcare Staffing, a Joint Commission-certified staffing agency, is seeking a quality CT Tech for a contract with one of our top healthcare clients. Requirements Eighteen months prior experience in a health care setting as a CT Techmust be ARRT (CT) or ASRT certifiedMost states require licensureAbility to work independently as well as in a team environment. Benefits Weekly pay and direct depositFull coverage of all credentialing feesPrivate housing or housing allowanceGroup Health insurance for you and your familyCompany-paid life and disability insuranceTravel reimbursement401(k) matchingUnlimited Referral Bonuses up to $1,000 Duties Responsibilities CT technologists, operate CT equipment, which produces cross-sectional images of patients' bones, organs and tissue that are used to diagnose medical conditions. Positioning patients for CT scans using immobilization and protective equipment as necessaryAppropriately setting the controls of the related equipment, monitoring equip",800000,1500000,CONTRACT,False,linkedin_2023_2024
105,Communications & Public Relations Specialist,Centra Health,"Lynchburg, VA",Hospitals and Health Care,Entry,0,2,Marketing|Public Relations|Writing/Editing,,"Job Description The incumbent is responsible for the development, planning and execution of internal and external communications and media relations and will collaborate with all levels of management. Responsibilities Answer inquiries from media, individuals and other organizations as it relates to public relations and communications including development of statements and materials Prioritizing requests, engaging reporters and anticipating story angles Respond to requests for information from the media Writes and collaborates internal communications with misc. departments as needed and serves on internal work groups to support organizational initiatives. (Human Resources, Nursing, Nutrition, Foundation, Pastoral Care, Compliance and Legal, Education, etc.) Serves as back-up to the Director of Communications and PR (media scheduling, interviews) Plan and assist press events as needed Serves as the main communications liaison for the Cerner EMR project Regular and consistent contact wit",800000,1500000,FULL_TIME,False,linkedin_2023_2024
106,Sr Admin Asst General Counsel (87538Br),Yale University,"New Haven, CT",Higher Education,Mid-level,2,5,Administrative,,"University Job Title Senior Administrative Assistant (*) Bargaining Unit Excluded - Excluded (Yale Union Group) Time Type Full time Duration Type Regular Compensation Grade Labor Grade D Wage Ranges Click here to see our Wage Ranges Searchable Job Family Secretarial Total # of hours to be worked: 37.5 Work Week Standard (M-F equal number of hours per day) Work Location Central Campus Worksite Address 2 Whitney Avenue New Haven, CT 06510 Work Model On-site Position Focus The Division of the Vice President and General Counsel comprises four offices, the Office of General Counsel (OGC), the Office of Institutional Compliance and Enterprise Risk Management (ICERM), the Office of Federal Relations (OFR) and University Governance (UG). OGC provides legal counsel, representation, and oversight of work on the wide range of legal matters affecting Yale University and its component organizations. ICERM coordinates the University’s compliance, privacy, and risk management efforts and directs a co",800000,1500000,FULL_TIME,False,linkedin_2023_2024
107,Medical Assistant Family Medicine,Intermountain Health,"St George, UT",Hospitals and Health Care,Entry,0,2,Health Care Provider,,"Job Description: A Medical assistant has accountability for providing care to patients in an ambulatory clinic setting. This will involve caring for patients with acute and chronic needs Are you interested in advancing your career while helping people live the healthiest lives possible? Do you want to have a job where the work you do matters? At Intermountain Health, we are looking for Medical Assistants who are patient-focused and engaged. A Medical Assistant can be a great first step in your healthcare career if you are looking to become a Registered Nurse, Advanced Practice Clinician, Healthcare Leadership and more! What does it mean to be a Medical Assistant with Intermountain Health? Check out this video to learn more. A Medical Assistant will be responsible to communicate clearly with patients seeking care thru different modalities including telephone and in-person interactions.Under the direction of the Clinician, the Medical Assistant will provide care to patients by assisting ",800000,1500000,FULL_TIME,False,linkedin_2023_2024
108,Sales Specialist,White Cap,"Mankato, MN",Wholesale Building Materials,Entry,0,2,Sales|Business Development,,"A position at White Cap isn’t your ordinary job. You’ll work in an exciting and diverse environment, meet interesting people, and have a variety of career opportunities. The White Cap family is committed to Building Trust on Every Job. We do this by being deeply knowledgeable, fully capable, and always dependable, and our associates are the driving force behind this commitment. Job Summary Play a crucial role in driving sales growth through engaging potential customers, nurturing leads, and converting them into sales opportunities. This position offers an exciting opportunity to contribute to the company's success while working in a fast-paced, results oriented environment. Major Tasks, Responsibilities And Key Accountabilities Proactively make outbound sales calls to an assigned list of ~300 potential and existing accounts to drive sales growth. Increase penetration within existing customers by increasing the number of categories sold. Establish and maintain strong relationships with ",800000,1500000,FULL_TIME,False,linkedin_2023_2024
109,Data Center Operations Manager-Houston Texas,Cogent Communications,"Houston, TX",Telecommunications,Mid-level,2,5,Project Management|Information Technology,,"Company: Cogent Communications is a global, Tier 1 facilities-based ISP, consistently ranked as one of the top five networks in the world and is publicly traded on the NASDAQ Stock Market under the ticker symbol CCOI. Cogent specializes in providing businesses with high speed Internet access and Ethernet transport services. Cogent's facilities-based, all-optical IP network backbone provides IP services globally. Since its inception, Cogent has unleashed the benefits of IP technology, building one of the largest and highest capacity IP networks in the world. This network enables Cogent to offer large bandwidth connections at highly competitive prices. Cogent also offers superior customer support by virtue of its end-to-end control of service delivery and network monitoring. A competitive base salary and a full benefits package including; Health, Dental, Vision, Paid Time Off ( PTO), Short- and Long-Term Disability, Life Insurance, Holidays, Parental Leave, 401 ( k) plan with employer ma",800000,1500000,FULL_TIME,False,linkedin_2023_2024
110,"Registered Nurse (Rn) Ii- Cvicu Nights $10,000 Sign-On Bonus",Houston Methodist,"Houston, TX",Hospitals and Health Care,Mid-level,2,5,Health Care Provider,,"Come lead with us at Houston Methodist Hospital At Houston Methodist, the Registered Nurse (RN) II position a licensed staff nurse, an experienced clinician, functions at the Competent to Proficient stage of Benner's model of clinical practice. The RN II position is responsible for providing professional nursing care to a diverse patient population, conducting nursing assessments, assisting with exams and treatment, patient education, and maintenance of medical records. The RN II position provides direct patient care effectively and efficiently which may include patients with varied and complex needs. This position communicates and collaborates with the physicians and interprofessional health care team to facilitate, coordinate, and maintain compassionate, efficient, quality care and achievement of desired treatment outcomes. The RN II position demonstrates clinical competence when providing care, using technology, administering medications, performing procedures, and managing emergenc",800000,1500000,FULL_TIME,False,linkedin_2023_2024
111,Property Accountant,Bedrock Detroit,"Detroit, MI",Real Estate,Entry,0,2,Accounting/Auditing|Finance,,"About Bedrock Bedrock is a full-service real estate firm specializing in innovative city building strategies. Since its founding in 2011, Bedrock and its affiliates have invested and committed more than $7.5 billion to acquire, develop and operate more than 140 properties in Detroit and Cleveland with landmark developments at the Hudson’s Site, Book Tower, City Modern, Tower City Center and the May Company Building. Bedrock’s projects include new construction, adaptive reuse and a portfolio totaling more than 21 million square feet of office, retail, residential, industrial, hospitality and parking. For additional information about Bedrock, please visit bedrockdetroit.com, bedrockdetroit.com/careers/, and engage with us on Facebook, Instagram, Twitter and LinkedIn. Job Summary As a Property Accountant with our Property Accounting Team here at Bedrock, you will be responsible for the day-to-day accrual based accounting for all assigned commercial and residential properties and related e",800000,1500000,FULL_TIME,False,linkedin_2023_2024
112,Applications Engineer,TGW North America,"Grand Rapids, MI","Transportation, Logistics, Supply Chain and Storage",Entry,0,2,Engineering|Information Technology,,"(M/F/D)* The Applications Engineer works closely together with the Solutions Engineering team to create customized material handling solutions for our customers. This creative role supports the local sales team from the first customer contact to the last bidding presentation, providing expertise in the mechatronic capabilities of the TGW product portfolio. Responsibilities include drawing the system layouts in both 3D and 2D CAD, product selection based on requirements, presenting designs to customers and preparing technical content for sales proposals. What You’ll Be Handling Design and creation of the mechatronic material handling layouts through collaboration with solutions team, from initial concept to final contract design, using the TGW product portfolio and 3rd party equipment.Present and develop concepts during customer meetings and internal discussions to create optimized solutions that best fit the customer requirements.Use engineering knowledge to perform performance calcula",800000,1500000,CONTRACT,False,linkedin_2023_2024
113,C++ Developer,GlobalLogic,United States,Engineering Services,Mid-level,2,5,Engineering,,"Job Description: Understanding of TCP/IP model and networking protocols at Layer 2 and aboveUnderstanding of Application Layer Protocols such as DNS, HTTPS, TLSKnowledge of Socket Programming in C/C++Knowledge of mobile networking such as network operations on cellular vs Wi-FiKnowledge of iOS and Android InternalsKnowledge of dynamic library injection, method swizzling, app wrapping and other runtime modification techniquesHands on with tools like Frida, Wireshark, Charles Proxy Nice-to-Have Skills: Understanding of VPNs, Firewalls and ProxiesUnderstanding of IPv4, IPv6, NAT64, DNS64 and other translation technologiesNetwork Security & CryptographyAuthentication Frameworks such as SAML/OIDC & Access Control Technologies. Education: Bachelor's or Master s degree in Computer Science, Computer or Electrical Engineering, Mathematics, or a related field. GlobalLogic estimates the starting pay range for this role to be performed remotely is $140k/yr to $145k/yr, and reflects base salary onl",800000,1500000,FULL_TIME,True,linkedin_2023_2024
114,Speech Language Pathologist - Snf,National Staffing Solutions,"Havre de Grace, MD",Staffing and Recruiting,Entry,0,2,Health Care Provider,,"At National Staffing Solutions, we have the privilege and honor of working with dedicated healthcare professionals that make a positive impact in aiding those needing healthcare services across the U.S. every day. It is our passion, drive and integrity that enables us to continue our focus in assisting remarkable healthcare professionals like yourself in solidifying the best career opportunities available to you. We’re currently seeking a Speech Language Pathologist - SNF to join our amazing team. Details Of The Speech Language Pathologist Opening Anticipated start date: 05/20/2024Salary: $1855.51 - $2142.89 weeklyAnticipated duration of assignment: 12 weeksAnticipated schedule: 5x8 DaysEnjoy peace of mind knowing you can elect Day One Medical Benefits Daily Range Of Responsibilities Of The Speech Language Pathologist Providing a full range of speech-language pathology services including identification, assessment and treatment planning.Conducting therapeutic interventions in an interd",800000,1500000,FULL_TIME,False,linkedin_2023_2024
115,Guest Experience Sales Specialist,Bob's Discount Furniture,"Brookfield, CT",Furniture and Home Furnishings Manufacturing,Entry,0,2,Sales|Customer Service,,"Retail Guest Experience Specialists Full-Time and Part-Time Career Opportunities Our Retail Guest Experience Specialists are a major driving factor behind Bob’s Discount Furniture’s success and expansive growth in the retail industry. At Bob’s you can expect an environment dedicated to your individual success and a rewarding career with room for professional advancement! As champions of the “Bob’s Way” our Retail Guest Experience Specialists find satisfaction in assisting customers with their interior design needs, offering world class customer service with a low pressure, honest, gimmick free and enjoyable shopping experience. ""No phony sales, no phony gimmicks, just everyday low prices and value! We call it the Bob’s Way because no one does it better!"" - Bob Kaufman Founder and President Emeritus At Bob’s we understand there are many companies you can choose to work for, so, along with exceptional opportunities for career growth we offer a fun and team oriented work environment and g",800000,1500000,FULL_TIME,False,linkedin_2023_2024
116,Administrative Assistant,Infobahn Softworld Inc,"Raritan, NJ",Pharmaceutical Manufacturing,Entry/Mid,1,3,Administrative,,"Neuroscience Operations Specialist The candidate will facilitate timely flow of purchase orders, invoicing reconciliation and operational processing of market research initiatives in relevant systems. The actions of the candidate facilitate processing of requests including resolution of any issues that come up by connecting with key stakeholders in market access, insights and analytics, compliance and finance. Proficiency with Computer Systems in General, in particular with purchase order systems, market research operational systems. Working with stakeholders to discuss and understand issues as they occur so they can be solved Understanding system processes and requirements to proactively navigate through them QUALIFICATIONRATING",800000,1500000,CONTRACT,False,linkedin_2023_2024
117,Behavior Technician,Centria Autism,"Cibolo, TX",Hospitals and Health Care,Entry,0,2,Health Care Provider,,"We are looking for enthusiastic individuals to join our team as Behavior Technicians. As a Behavior Technician, you will have the opportunity to make a real difference in the lives of children with autism. In this role, you will work one-on-one with children, implementing individualized behavior intervention plans under the guidance of a Board Certified Behavior Analyst (BCBA). You will use evidence-based techniques to teach communication, social, and daily living skills while reducing interfering behaviors. We are looking for candidates who are passionate about helping children with autism reach their full potential. You will need to be patient, compassionate, and able to work well in a team environment. We will provide comprehensive training so that you are equipped and empowered to help each child, even if you don’t currently have experience. Children can be unpredictable and potentially confrontational, so this role is not for the weak of spirit, mind, or body. Part of the joy of w",800000,1500000,FULL_TIME,False,linkedin_2023_2024
118,Capital Markets Pm,Matlen Silver,New York City Metropolitan Area,IT Services and IT Consulting,Mid-level,2,5,Project Management|Information Technology|Finance,,"Capital Market PM (5-6 years)Jersey City/NYC $60-$70/hour 18 Month W2 Contract Global Markets Tech Data Program Office is a horizontal function and responsible for oversight on all data programs across Global Markets organization. The organization is responsible to ensure seamless delivery of high impact and regulatory data programs within Markets and across Enterprise space. Job DescriptionResponsible for planning, coordinating, and delivery of defined deliverables which usually requires engagement from multiple teams such as a project or smaller program. Communicates the work objectives, coordinates delivery, manages risks, ensures compliance to standards, and provides end-to-end visibility into the health of the deliverables. Ensures execution and delivery meets the client’s expectations in terms of the functionality, quality, timeline and cost. Coordinates and facilitates routines to support delivery – e.g. kick-offs, status reviews, stakeholder meetings, change controls, tollgates",100000,100000,CONTRACT,False,linkedin_2023_2024
119,Business Applications Specialist - Yardi,Rose Associates,"New York, NY",Real Estate,Mid-level,2,5,Engineering|Information Technology,,"Overview Are you an IT Application Specialist with a knack for Yardi property management software? At Rose Associates seeking a seasoned professional to join our team! Dive into the core of our operations, providing top-tier support, mastering integrations, and ensuring seamless functionality. If you excel at solving problems and have a passion for all things Yardi, seize this opportunity to make a real impact. Join us and be part of a team dedicated to innovation and excellence. Apply now and step into a role where every day brings new challenges and achievements! Essential Job Functions Work closely with our Enterprise Application Manager, oversee the Yardi property management system, ensuring its optimal performance and utilization.Maintain a thorough understanding of the Yardi database structure, application integrations, and YardiOne platform.Provide ongoing application support, addressing issues and queries related to Yardi. Contribute to the training and development of end-users",120000,140000,FULL_TIME,False,linkedin_2023_2024
120,Sales Manager,W3Global,"San Diego, CA",Staffing and Recruiting,Entry,0,2,Sales,,"Our Client is actively recruiting for MULTIPLE full-time Regional Sales Managers residing in the United States. Our Client is the largest solid carbide cutting tool manufacturer in China and a long-term reliable partner of the global metal cutting industry. Based on the latest production technologies, They produces products of consistent quality at the highest level. The extensive product range includes carbide indexable inserts (coated and uncoated), indexable insert made from cermet and CBN & PCD, solid carbide tools, and tool holders & milling bodies. Key Performance Areas The Regional Sales Manager (RSM) position primary means for driving market penetration. The goal of RSM's is to expand market share. The role will involve cultivating new distributors by initiating and establishing sales opportunities with tooling industries, and assisting our distributors in improving their product knowledge which enables them to promote products and directly influences their sales growth on our ",800000,1500000,FULL_TIME,False,linkedin_2023_2024
121,"Coordinator, Rx Monitoring (Harrisburg, Pennsylvania)",RITE AID,"Yocumtown, PA",Retail,Mid-level,2,5,Other,,"The primary purpose of this position is to review prescription records and documents related to state and federal controlled substance laws and regulations including state Prescription Monitoring Program (PMP) laws for compliance. Primary focus is placed on correcting errors for state prescription monitoring programs. Coordinate the transmission of controlled substance data to state Prescription Monitoring Programs (PMP) in state specific formatSupport pharmacy teams in the correction of inaccurate data sent to state PMPsError correction to the state PMP for compliance with state laws and to prevent costly government fines and disciplinary action from being assessed.Coordinate accurate and timely reporting of PMP data with Pharmacy Operations, Information Services and Third PartyCoordinate with Information Services to provide access on the portal and though NexGen for Pharmacy Associates to check for PMP data.Review proposed regulations for reporting changes and work with IS to impleme",800000,1500000,FULL_TIME,True,linkedin_2023_2024
122,Professional Liability Leader,Futuristic Underwriters,Dallas-Fort Worth Metroplex,Insurance,Senior,5,10,Management|Product Management,,"About Futuristic Underwriters Futuristic Underwriters has been launched to deliver innovative P&C insurance products to the marketplace using futuristic approaches including: Distribution technology – modern, efficient rate/quote/bind platform for a superior customer experienceUnderwriting insights – leverage new data sources and advanced analytics to drive industry leading underwriting resultsProactive claims handling – efficiently settle claims with prompt and proactive approachesRisk reduction – use innovation to help insureds lower their risk profile and ultimately loss experience We are looking for top talent to join us in building new products harnessing the power of innovative approaches. We offer the opportunity to be on the ground floor of building a book of business with the innovation and flexibility of an MGA and the resources of an established insurance company – insurance companies, operational support team, claims team, reinsurance relationships. We offer the following: ",800000,1500000,FULL_TIME,False,linkedin_2023_2024
123,Senior Bioinformatics Programmer,NYU Langone Health,"New York, NY",Hospitals and Health Care,Mid-level,2,5,Other,,"1126505_RR00090437 Job ID: 1126505_RR00090437 NYU Grossman School of Medicine is one of the nation's top-ranked medical schools. For 175 years, NYU Grossman School of Medicine has trained thousands of physicians and scientists who have helped to shape the course of medical history and enrich the lives of countless people. An integral part of NYU Langone Health, the Grossman School of Medicine at its core is committed to improving the human condition through medical education, scientific research, and direct patient care. At NYU Langone Health, equity, diversity, and inclusion are fundamental values. We strive to be a place where our exceptionally talented faculty, staff, and students of all identities can thrive. We embrace diversity, inclusion, and individual skills, ideas, and knowledge. For more information, go to med.nyu.edu, and interact with us on LinkedIn, Glassdoor, Indeed, Facebook, Twitter and Instagram. Position Summary We have an exciting opportunity to join our team as a S",100000,115000,FULL_TIME,False,linkedin_2023_2024
124,Supply Chain Analyst,Safran,"Walton, KY",Wholesale Building Materials,Mid-level,2,5,Manufacturing,,"Candidates for positions with Safran Landing Systems must be legally authorized to work in the United States. Employment eligibility verification will be required at the time of hire. Visa sponsorship is not available for this position. This description has been designed to indicate the general nature and level of work performed by an employee within this position. The actual duties, responsibilities and qualifications may vary based on assignment or group. All qualified applicants will receive consideration for employment without regard to race, color, age, ethnicity, religion, sex, sexual orientation, gender identify, national origin, disability, veteran status, genetic data or other legally protected status. Safran Landing Systems is committed to working with and providing reasonable accommodation to individuals with physical and mental disabilities. To verify the information in the job listing or if you need special assistance or an accommodation while seeking employment, please e-",800000,1500000,FULL_TIME,False,linkedin_2023_2024
125,Frontend Developer,DataAnnotation,Miami-Fort Lauderdale Area,Software Development,Mid-level,2,5,Engineering|Research|Analyst,,"DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule. We are looking for a proficient Frontend Developer to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code. In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL) and able to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem. Benefits: This is a full-time or part-time REMOTE positionYou’ll be able to choose which projects you want to work onYou can work on your own scheduleProjects are paid hourly, starting at $40+ USD per hour, with bonuses for high-quality and high-volume work Responsibilities: Come up with diverse problems and solutions",800000,1500000,CONTRACT,True,linkedin_2023_2024
126,Executive Assistant To Cmo,Zufall Health,"Morris County, NJ",Hospitals and Health Care,Mid-level,2,5,Administrative,,"Welcome to Zufall Health! Position Summary Under the direction of the Chief Medical Officer, the Executive Assistant will be responsible for administrative and programmatic activities necessary to support and facilitate clinical staff performance in the provision of patient care. This is a temporary position starting around June until around December with possibility of extension or transfer to permanent position. Essential Functions, Duties, And Responsibilities Executive Assistant Functions Work directly with the CMO to support all aspects of daily work routine. Provide administrative support to the Medical, Behavioral Health and other clinical providers and other managers as needed. Prepares reports/documents and updates information. Assist medical and clinical team with scheduling and planning for special events as assigned. Maintain the CMO’s calendar, including scheduling meetings, appointments, speaking engagements, and arrangements. Exercise discretion in committing time and ev",100000,100000,FULL_TIME,False,linkedin_2023_2024
127,Director Of Quality Control,JLA Architects,"Madison, WI",Architecture and Planning,Mid-level,2,5,Design|Project Management|Quality Assurance,,"Position Summary: The Director of Quality Control is a leadership position created to improve the quality & consistency of JLA’s designs & design documents - at all phases of a project’s lifecycle. To help meet this goal, the Director of Quality Control shall continually collaborate with JLA’s Director of Architectural Operations to: Support existing ‘Quality Assurance Practices’ and their continual evaluation & evolution. This includes, but is not limited to, implementation & facilitation of formal policies, procedures, methodologies, standards, tools, and best practices to improve the quality of JLA’s designs & documents across all phases of the ‘Project Lifecycle’. Continually facilitate & evaluate JLA’s ‘Quality Control Practices’ and conceive & implement the evolution of the ‘Quality Control Practices’ as necessary. Conceive, implement, and facilitate practices for the ongoing evaluation of Team compliance with ‘Quality Control Practices’. Conduct or delegate ‘Quality Control Revi",110000,125000,FULL_TIME,False,linkedin_2023_2024
128,Assistant Branch Manager,Regional Finance (Regional Management Corp.),"Provo, UT",Financial Services,Mid-level,2,5,Finance|Sales,,"Are you ready to take your career to the next level? Regional strives to positively impact the financial lives of our customers. For over 35 years, our Team Members have been passionate about supporting customers through their financial challenges in life. They take pleasure in finding solutions and lending a helping hand, both to our customers and our communities. As we continue to grow and become a national brand in consumer financing, we hope you’ll consider us for future career opportunities. If you are looking to make a meaningful impact in people’s lives by bringing a personal touch to finances, join our team today! Regional Finance is hiring! We are looking for talented and driven individuals to join our team. Take the next step in your career and click that apply button! Job Intro The core of an Assistant Manager is being customer oriented. If you are interested in helping others in their time of need, then this is the career you have been looking for! Why work at Regional? Reg",800000,1500000,FULL_TIME,False,linkedin_2023_2024
129,Clinic Director - Prescriber,Family Care Center,"Northglenn, CO",Mental Health Care,Senior,5,10,Health Care Provider,,"Description NOW RECRUITING EXPERTS IN COLLABORATION AND COMPASSION. At Family Care Center, we are on a mission to transform lives by elevating behavioral health care. Our journey began in 2016 when two U.S. Army Veterans founded Family Care Center to help service members, Veterans and their families. We continue that tradition today, caring for people of all ages across a broad range of conditions with nearly 30 outpatient clinics in communities across Arizona, Colorado, Florida, Tennessee and Texas. If you’d like to work for one of the nation's fastest-growing behavioral health providers while collaborating with a multidisciplinary team to make a positive impact on the well-being of your local community, we look forward to hearing from you. Where behavioral health behaves differently. WE FOCUS ON YOU, SO YOU CAN FOCUS ON YOUR PATIENTS: Our comprehensive support system enables you to build a robust and profitable caseload, while ensuring you have the autonomy, time and resources to del",800000,1500000,FULL_TIME,False,linkedin_2023_2024
130,Ai Enthusiast Software Engineers (Full Stack / Backend) Instructor,Interview Kickstart,United States,Education Administration Programs,Mid-level,2,5,Education,,"The name InterviewKickstart might have given you a clue. But here’s the 30-second elevator pitch - Interviews can be challenging. And when it comes to the top tech companies like Google, Apple, Facebook, Netflix, etc., they can be downright brutal. Most candidates don’t make it simply because they don’t prepare well enough. InterviewKickstart (IK) helps candidates nail the most challenging tech interviews. At IK, current and former hiring managers at these top companies take candidates through an intense interview prep course to prepare them to crack the most challenging interviews. We are looking for AI Enthusiast Software Engineers(Full Stack / Backend) with a strong passion for teaching to join us as part-time instructors. This role will provide opportunities to network with other experts, understand learner issues and contribute to the Software Engineering community. Responsibilities:Streamline the curriculum to align with Backend or Full-Stack Engineers' interview requirements in ",800000,1500000,PART_TIME,True,linkedin_2023_2024
131,Audit Manager - Technology - Tysons/Rockville (Hybrid),Cherry Bekaert,"Tysons Corner, VA",Accounting,Mid-level,2,5,General Business|Other|Information Technology,,"Cherry Bekaert is proud to have over 75 years of experience in Accounting and Advisory services. Our shared values, including uncompromising integrity, a passion for excellence and mutual respect have helped us get here. If these values align with yours, we’d like to hear from you. Let's grow your career as an Technology Audit Manager supporting our Tysons, VA, practice. The successful candidate will have external will have external audit experience within the Tech industry. What your day looks like: Communicating between clients and the firm to ensure engagement objectives are met by all parties.Oversee firm objectives (engagement economics) and manage firm resources to ensure that established goals are met.Provides guidance and experience to ensure that engagement risks are identified and appropriate responses (including specific audit steps) are taken.Mentor and develop associates by providing timely on-site reviews and providing feedback on associates’ performanceFacilitate resolut",100000,148300,FULL_TIME,False,linkedin_2023_2024
132,Senior Test Development Engineer,Eliassen Group,Raleigh-Durham-Chapel Hill Area,Financial Services,Mid-level,2,5,Information Technology|Finance|Quality Assurance,,"Technology team in Personal Investing is on a mission to modernize and build innovative, cloud-native experiences, capabilities, and platforms. We're seeking a hardworking engineer to join us in this exciting journey. As a Senior Test Development Engineer, you'll leverage your strong software development and test automation skills to craft, develop, test, deploy, maintain, and enhance customer-facing software solutions. Your expertise will support your team in adopting test automation frameworks and best practices to ensure we're building the right product in the most accurate way. Qualifications:8+ years of experienceProficiency in crafting and building web applications and using test automation frameworksExperience with Cypress, Selenium, Protractor, or Puppeteer Framework, AngularJS/ReactJS, NodeJS, and HTML5Playwright/KarateDevOps experience using Jenkins, Jira, and StashExpertise in mock frameworks and service virtualizationStrong knowledge of Resiliency Software Engineering and O",115000,135000,CONTRACT,False,linkedin_2023_2024
133,"Senior Business Account Executive 3, Smb Direct Sales",Comcast,"Lansing, MI",IT Services and IT Consulting,Mid-level,2,5,Sales,,"Comcast brings together the best in media and technology. We drive innovation to create the world's best entertainment and online experiences. As a Fortune 50 leader, we set the pace in a variety of innovative and fascinating businesses and create career opportunities across a wide range of locations and disciplines. We are at the forefront of change and move at an amazing pace, thanks to our remarkable people, who bring cutting-edge products and services to life for millions of customers every day. If you share in our passion for teamwork, our vision to revolutionize industries and our goal to lead the future in media and technology, we want you to fast-forward your career at Comcast. Job Summary Sell Comcast Internet, Data, Video and Voice services to small and mid- size businesses focusing mainly on advanced communications solutions including PRI, Hosted PBX and multi-location opportunities. As part of sales process, create and deliver face-to-face sales presentations that demonstra",800000,1500000,FULL_TIME,False,linkedin_2023_2024
